# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
A4GALT	ENSG00000128274	ENST00000249005	protein_coding	0	0	0	4	0	0	2	0	0	0	0	0	0	0	2
A4GALT	ENSG00000128274	ENST00000381278	protein_coding	0	0	0	4	0	0	2	0	0	0	0	0	0	0	2
A4GALT	ENSG00000128274	ENST00000401850	protein_coding	0	0	0	4	0	0	2	0	0	0	0	0	0	0	2
A4GALT	ENSG00000128274	ENST00000465765	processed_transcript	0	0	0	9	0	0	2	4	0	0	0	0	0	0	3
A4GALT	ENSG00000128274	ENST00000483026	processed_transcript	0	0	0	4	0	0	2	0	0	0	0	0	0	0	2
AC000029.1	ENSG00000221069	ENST00000408142	miRNA	0	0	0	4	0	0	2	0	0	0	0	0	0	0	2
AC002472.1	ENSG00000269103	ENST00000547793	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
AC004461.4	ENSG00000237347	ENST00000412461	processed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
AC004463.6	ENSG00000260924	ENST00000565162	antisense	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
AC004832.1	ENSG00000203606	ENST00000366413	pseudogene	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
AC006547.8	ENSG00000243762	ENST00000412713	antisense	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
AC006548.26	ENSG00000270226	ENST00000605217	processed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
AC006946.17	ENSG00000273442	ENST00000609791	lincRNA	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
AC008132.1	ENSG00000182824	ENST00000342888	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
AC008132.13	ENSG00000161103	ENST00000412938	processed_transcript	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
AC008132.13	ENSG00000161103	ENST00000416498	processed_transcript	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
AC008132.13	ENSG00000161103	ENST00000445398	processed_transcript	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
ADM2	ENSG00000128165	ENST00000362068	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
