# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
A4GALT	ENSG00000128274	ENST00000249005	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
A4GALT	ENSG00000128274	ENST00000381278	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
A4GALT	ENSG00000128274	ENST00000401850	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
A4GALT	ENSG00000128274	ENST00000465765	processed_transcript	0	0	0	11	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	3
A4GALT	ENSG00000128274	ENST00000483026	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ABCD1P4	ENSG00000225293	ENST00000399687	unprocessed_pseudogene	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP4	ENSG00000229107	ENST00000411545	processed_pseudogene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP5	ENSG00000182502	ENST00000333131	processed_pseudogene	0	0	0	6	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	2
AC000029.1	ENSG00000221069	ENST00000408142	miRNA	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
AC000041.8	ENSG00000242156	ENST00000439655	unprocessed_pseudogene	0	0	0	9	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	4
AC000068.10	ENSG00000273212	ENST00000608816	antisense	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4
AC000068.5	ENSG00000185065	ENST00000431090	antisense	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2
AC000068.9	ENSG00000273300	ENST00000607934	antisense	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
AC000077.2	ENSG00000230485	ENST00000420012	processed_pseudogene	0	0	0	22	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	12
AC000078.5	ENSG00000232926	ENST00000420617	processed_pseudogene	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
AC000081.2	ENSG00000230194	ENST00000433141	processed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC000095.9	ENSG00000270393	ENST00000603208	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC002472.1	ENSG00000269103	ENST00000547793	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AC002472.11	ENSG00000226872	ENST00000450652	antisense	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC002472.13	ENSG00000187905	ENST00000342608	protein_coding	0	0	0	8	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
AC002472.13	ENSG00000187905	ENST00000442047	protein_coding	0	0	0	8	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0
AC002472.13	ENSG00000187905	ENST00000469766	retained_intron	0	0	0	7	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	3
AC002472.13	ENSG00000187905	ENST00000473769	processed_transcript	0	0	0	8	0	0	0	0	0	1	0	5	0	2	0	0	0	0	0	0	0
AC002472.13	ENSG00000187905	ENST00000497328	processed_transcript	0	0	0	8	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0
AC002472.13	ENSG00000187905	ENST00000543388	protein_coding	0	0	0	8	2	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0
AC003681.1	ENSG00000221736	ENST00000408809	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004019.10	ENSG00000229492	ENST00000455617	processed_pseudogene	0	0	0	8	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	5
AC004019.18	ENSG00000272675	ENST00000608960	lincRNA	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
AC004461.4	ENSG00000237347	ENST00000412461	processed_pseudogene	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
AC004463.6	ENSG00000260924	ENST00000565162	antisense	0	0	0	14	0	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	5
AC004471.10	ENSG00000272682	ENST00000609936	lincRNA	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AC004471.9	ENSG00000223461	ENST00000456035	antisense	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
AC004832.1	ENSG00000203606	ENST00000366413	pseudogene	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
AC005003.1	ENSG00000213888	ENST00000504184	protein_coding	0	0	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2
AC005300.5	ENSG00000236325	ENST00000428401	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
