# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
A4GALT	ENSG00000128274	ENST00000249005	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
A4GALT	ENSG00000128274	ENST00000381278	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
A4GALT	ENSG00000128274	ENST00000401850	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
A4GALT	ENSG00000128274	ENST00000465765	processed_transcript	0	0	0	13	0	0	0	0	0	0	10	0	0	0	0	0	0	0	3
A4GALT	ENSG00000128274	ENST00000483026	processed_transcript	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ABCD1P4	ENSG00000225293	ENST00000399687	unprocessed_pseudogene	0	0	0	6	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0
ABHD17AP5	ENSG00000182502	ENST00000333131	processed_pseudogene	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
AC000029.1	ENSG00000221069	ENST00000408142	miRNA	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
AC000041.8	ENSG00000242156	ENST00000439655	unprocessed_pseudogene	0	0	0	4	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
AC000078.5	ENSG00000232926	ENST00000420617	processed_pseudogene	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
AC000081.2	ENSG00000230194	ENST00000433141	processed_pseudogene	0	0	0	18	0	0	0	0	0	5	0	0	0	0	0	0	0	0	13
AC000089.3	ENSG00000235776	ENST00000424559	processed_pseudogene	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2
AC002059.10	ENSG00000273216	ENST00000608014	sense_intronic	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
AC002472.1	ENSG00000269103	ENST00000547793	protein_coding	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2
AC002472.11	ENSG00000226872	ENST00000450652	antisense	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC002472.13	ENSG00000187905	ENST00000342608	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
